axc: 0.82, ayc: 0.55, azc: -0.37, ax: 13501, ay: 9037, az: -5984
mxc: 0.75, mxy: -0.06, mzc: 0.29, mx: 5352, my: -461, mz: 2090

5615  gxc: -23.09, gyc: 137.52, gzc: -40.22, gx: -2639, gy: 15716, gz: -4596
axc: 0.64, ayc: 0.35, azc: -0.82, ax: 10453, ay: 5726, az: -13379
mxc: 0.62, mxy: 0.00, mzc: 0.48, mx: 4417, my: 17, mz: 3425

5847  gxc: 46.81, gyc: -22.04, gzc: -35.95, gx: 5350, gy: -2519, gz: -4109
axc: 0.41, ayc: 0.22, azc: -0.94, ax: 6732, ay: 3559, az: -15405
mxc: 0.49, mxy: 0.04, mzc: 0.55, mx: 3465, my: 276, mz: 3945

6075  gxc: 49.86, gyc: 81.49, gzc: -45.64, gx: 5698, gy: 9313, gz: -5216
axc: 0.42, ayc: 0.32, azc: -0.76, ax: 6850, ay: 5324, az: -12486
mxc: 0.44, mxy: 0.01, mzc: 0.56, mx: 3137, my: 89, mz: 4027

6301  gxc: 18.17, gyc: 43.93, gzc: -8.09, gx: 2076, gy: 5020, gz: -924
axc: 0.32, ayc: 0.27, azc: -0.83, ax: 5277, ay: 4432, az: -13624
mxc: 0.42, mxy: 0.01, mzc: 0.56, mx: 3008, my: 44, mz: 4034

6524  gxc: -40.62, gyc: -46.14, gzc: 34.04, gx: -4642, gy: -5273, gz: 3890
axc: 0.13, ayc: 0.21, azc: -0.96, ax: 2088, ay: 3462, az: -15748
mxc: 0.41, mxy: 0.00, mzc: 0.58, mx: 2940, my: 24, mz: 4145

6753  gxc: -6.45, gyc: -14.93, gzc: 4.35, gx: -737, gy: -1706, gz: 497
axc: 0.32, ayc: 0.22, azc: -0.89, ax: 5195, ay: 3684, az: -14521
mxc: 0.42, mxy: 0.02, mzc: 0.58, mx: 2976, my: 113, mz: 4121

6977  gxc: 18.23, gyc: 42.16, gzc: 26.20, gx: 2084, gy: 4818, gz: 2994
axc: 0.32, ayc: 0.26, azc: -0.77, ax: 5319, ay: 4215, az: -12564
mxc: 0.41, mxy: -0.02, mzc: 0.58, mx: 2934, my: -167, mz: 4110

7231  gxc: 104.29, gyc: -54.64, gzc: -58.25, gx: 11919, gy: -6245, gz: -6657
